"";"place_name";"place_with_parent_names";"geonames_id";"lat.lon";"price";"currency";"price_aprox_local_currency";"price_aprox_usd";"surface_in_m2";"price_usd_per_m2";"floor";"rooms";"expenses";"title";"extra";"surface_total_in_m2";"surface_covered_in_m2";"price_per_m2";"id";"country_name";"state_name";"year"
"1505";"Monserrat";"|Argentina|Capital Federal|Monserrat|";"3430570";"-34.617964,-58.383639";85000;"USD";1580830;85000;"NA";2179,487179;"NA";"1";"NA";"Monoambiente en construccion - 60% de anticipo y el resto en 15 cuotas.";"NA";"39";"35";"2428.5714290000001";"1b5ab8040611213c36b113345505c57e3064d044";"Argentina";"Capital Federal";2017
"1506";"San Nicolas";"|Argentina|Capital Federal|San Nicolas|";"6693229";"-34.6177478,-58.3836439";89115;"USD";1572389,61;89115;"NA";2285;"NA";"1";"NA";"independencia 1248-san nicolas";"NA";"39";"35";"2546.1428569999998";"2cab31e65a276d8043101ded64bd481d189273fe";"Argentina";"Capital Federal";2017
"1507";"San Telmo";"|Argentina|Capital Federal|San Telmo|";"3428113";"-34.6151439,-58.3786419";85000;"USD";1357322,5;85000;"NA";2297,297297;"NA";"1";"NA";"Un ambiente divisible al frente apto profesional - venta de pozo";"NA";"37";"34";"2500";"238dc771fe97a1f1a9f30a362207f59e2a8e1d97";"Argentina";"Capital Federal";2017
"1508";"San Telmo";"|Argentina|Capital Federal|San Telmo|";"3428113";"-34.6160898,-58.3729927";298000;"USD";4758613;298000;"NA";2292,307692;"NA";"NA";"NA";"LOCAL EN VENTA";"NA";"130";"130";"2292.3076919999999";"a6e48dc3e651e347475f58684e5c2f0050daa539";"Argentina";"Capital Federal";2017
"1509";"Congreso";"|Argentina|Capital Federal|Congreso|";"3435259";"-34.6108753888,-58.3904286851";105000;"USD";1676692,5;105000;"NA";2386,363636;"NA";"2";"NA";"VENTA DEPARTAMENTO EN SOLIS 100 CONGRESO";"NA";"44";"44";"2386.363636";"615de393258567cd35cf0f2877acf910a63ca0b3";"Argentina";"Capital Federal";2017
"1510";"Balvanera";"|Argentina|Capital Federal|Balvanera|";"6693228";"-34.6177114,-58.383117";97000;"USD";1904595;97000;"NA";1672,413793;"NA";"2";"NA";"2AMB A ESTRENA.IMPECABLE";"NA";"58";"50";"1940";"3aa3b02135fa8e5f258ca856be09bb10ec658e72";"Argentina";"Capital Federal";2017
"1511";"Monserrat";"|Argentina|Capital Federal|Monserrat|";"3430570";"-34.6133619,-58.38541";97300;"USD";1910485,5;97300;"NA";2780;"NA";"NA";"NA";"Ambiente Ãšnico. Entre medianeras. Al frente. S/av. principal.  A estrenar.  Impecable. Orientacion Sur.";"NA";"35";"35";"2780";"94c46336b4f7b6630b3f8836d879b4fa7f689b54";"Argentina";"Capital Federal";2017
"1512";"Villa Devoto";"|Argentina|Capital Federal|Villa Devoto|";"3427451";"-34.625913,-58.506474";96000;"USD";780576;96000;"65";1476,923077;"NA";"2";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"1513";"Capital Federal";"|Argentina|Capital Federal|";"3433955";"-34.615134,-58.496751";66500;"USD";529725,7;66500;"39";1705,128205;"NA";"1";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"1514";"Capital Federal";"|Argentina|Capital Federal|";"3433955";"-34.627061,-58.507989";77500;"USD";453436,46;77500;"42";1845,238095;"7";"1";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"1515";"Villa Devoto";"|Argentina|Capital Federal|Villa Devoto|";"3427451";"-34.625227,-58.504734";NA;"USD";708658,62;120000;"61";1967,213115;"NA";"3";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"1516";"Villa del Parque";"|Argentina|Capital Federal|Villa del Parque|";"3427455";"-34.612251,-58.50018";68500;"USD";471588,25;68500;"34";2014,705882;"NA";"1";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"1517";"Monte Castro";"|Argentina|Capital Federal|Monte Castro|";"3430596";"-34.623738,-58.508287";80000;"USD";513880;80000;"40";2000;"NA";"2";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"1518";"Villa Devoto";"|Argentina|Capital Federal|Villa Devoto|";"3427451";"-34.613818,-58.499502";99000;"USD";776476,8;99000;"35";2828,571429;"NA";"1";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"1519";"Villa Devoto";"|Argentina|Capital Federal|Villa Devoto|";"3427451";"-34.613785,-58.504053";315000;"USD";1684618,1;315000;"260";1211,538462;"NA";"NA";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"1520";"Capital Federal";"|Argentina|Capital Federal|";"3433955";"-34.616263,-58.500566";53300;"USD";306912,73;53300;"37";1440,540541;"NA";"1";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"1521";"Villa del Parque";"|Argentina|Capital Federal|Villa del Parque|";"3427455";"-34.611378,-58.498279";73800;"USD";424956,09;73800;"43";1716,27907;"6";"2";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"1522";"Monte Castro";"|Argentina|Capital Federal|Monte Castro|";"3430596";"-34.623956,-58.509922";273000;"USD";1571992,05;273000;"202";1351,485149;"NA";"3";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"1523";"Monte Castro";"|Argentina|Capital Federal|Monte Castro|";"3430596";"-34.617775,-58.506264";179000;"USD";1047291,96;179000;"145";1234,482759;"NA";"4";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"1524";"Monte Castro";"|Argentina|Capital Federal|Monte Castro|";"3430596";"-34.613143,-58.501596";430000;"USD";2299637,4;430000;"302";1423,84106;"NA";"2";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"1525";"Monte Castro";"|Argentina|Capital Federal|Monte Castro|";"3430596";"-34.619878,-58.514521";104500;"USD";558865,36;104500;"72";1451,388889;"7";"3";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"1526";"Monte Castro";"|Argentina|Capital Federal|Monte Castro|";"3430596";"-34.622706,-58.508049";79000;"USD";543875,5;79000;"40";1975;"NA";"1";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"1527";"Capital Federal";"|Argentina|Capital Federal|";"3433955";"-34.613873,-58.502584";140000;"USD";1120448;140000;"80";1750;"NA";"3";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1528";"Monte Castro";"|Argentina|Capital Federal|Monte Castro|";"3430596";"-34.62081,-58.505509";94000;"USD";748785,2;94000;"51";1843,137255;"NA";"2";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1529";"Capital Federal";"|Argentina|Capital Federal|";"3433955";"-34.614646,-58.497137";71120;"USD";573191,64;71120;"51";1394,509804;"5";"1";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1530";"Capital Federal";"|Argentina|Capital Federal|";"3433955";"-34.615051,-58.496828";73500;"USD";588235,2;73500;"53";1386,792453;"5";"1";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1531";"Villa del Parque";"|Argentina|Capital Federal|Villa del Parque|";"3427455";"-34.615503,-58.496262";63000;"USD";507748,5;63000;"30";2100;"NA";"1";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"1532";"Monte Castro";"|Argentina|Capital Federal|Monte Castro|";"3430596";"-34.619621,-58.500249";110000;"USD";924220;110000;"77";1428,571429;"1";"3";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
