Pais;Poblacion_2020;Cambio_porc_anual;Cambio_neto_anual;Densidad;Area;Migrantes;Tasa_de_crecimiento;Edad_promedio;Poblacion_urbana;Porc_mundial;Code;Continente;PBI;Poblacion
Serbia;8731081;-0.4;-34864;100;87460;4000;1.5;42;56;0.11;SRB;Europe;38300;7058322
Seychelles;98453;0.62;608;214;460;-200;2.5;34;56;0;SYC;Africa;1427;94677
Sierra Leone;8004158;2.1;163768;111;72180;-4200;4.3;19;43;0.1;SLE;Africa;3737;7396190
Singapore;5858322;0.79;46005;8358;700;27028;1.2;42;NA;0.08;SGP;Asia;296976;5607283
Sint Maarten;42960;1.15;488;1261;34;NA;NA;NA;96;0;SXM;America;NA;39969
Slovenia;2078989;0.01;284;103;20140;2000;1.6;45;55;0.03;SVN;Europe;44709;2065042
Solomon Islands;689671;2.55;17061;25;27990;-1600;4.4;20;23;0.01;SLB;Oceania;1202;599419
Somalia;15965848;2.92;450317;25;627340;-40000;6.1;17;47;0.2;SOM;Africa;6217;14317996
South Africa;59436725;1.28;750420;49;1213090;145405;2.4;28;67;0.76;ZAF;Africa;295456;56015473
South Sudan;11216250;1.19;131612;18;610952;-174200;4.7;19;25;0.14;SSD;Africa;NA;12230730
Spain;46757980;0.04;18002;94;498800;40000;1.3;45;80;0.6;ESP;Europe;1237255;46484533
Sri Lanka;21428970;0.42;89516;341;62710;-97986;2.2;34;18;0.27;LKA;Asia;81322;21203000
Sudan;44019263;2.42;1036022;25;1765048;-50000;4.4;20;35;0.56;SDN;Africa;95584;39578828
Suriname;587541;0.9;5260;4;156000;-1000;2.4;29;65;0.01;SUR;America;3278;558368
Sweden;10110233;0.63;62886;25;410340;40000;1.9;41;88;0.13;SWE;Europe;514460;9923085
Switzerland;8665615;0.74;63257;219;39516;52000;1.5;43;74;0.11;CHE;Europe;668851;8372413
Tajikistan;9573310;2.32;216627;68;139960;-20000;3.6;22;27;0.12;TJK;Asia;6952;8734951
Tanzania;60012400;2.98;1728755;67;885800;-40076;4.9;18;37;0.77;TZA;Africa;47340;55572201
Thailand;69830779;0.25;174396;137;510890;19444;1.5;40;51;0.9;THA;Asia;407026;68863514
Timor-Leste;1322667;1.96;25326;89;14870;-5385;4.1;21;33;0.02;TLS;Oceania;1783;1268671
Togo;8310934;2.43;196358;152;54390;-2000;4.4;19;43;0.11;TGO;Africa;4400;7606374
Tonga;105901;1.15;1201;147;720;-800;3.6;22;24;0;TON;Africa;402;107122
Trinidad and Tobago;1400283;0.32;4515;273;5130;-800;1.7;36;52;0.02;TTO;America;21895;1364962
Tunisia;11839918;1.06;123900;76;155360;-4000;2.2;33;70;0.15;TUN;Africa;42063;11403248
Turkey;84495243;1.09;909452;110;769630;283922;2.1;32;76;1.08;TUR;Europe;863712;79512426
Turkmenistan;6046292;1.5;89111;13;469930;-5000;2.8;27;53;0.08;TKM;Asia;36180;5662544
Tuvalu;11817;1.25;146;393;30;NA;NA;NA;62;0;TUV;Oceania;34;11097
Uganda;45974931;3.32;1471413;229;199810;168694;5;17;26;0.59;UGA;Africa;24079;41487965
Ukraine;43686577;-0.59;-259876;75;579320;10000;1.4;41;69;0.56;UKR;Europe;93270;45004645
United Arab Emirates;9910892;1.23;119873;118;83600;40000;1.4;33;86;0.13;ARE;Asia;348743;9269612
United Kingdom;67948282;0.53;355839;281;241930;260650;1.8;40;83;0.87;GBR;Europe;2650850;65595565
United States;331341050;0.59;1937734;36;9147420;954806;1.8;38;83;4.25;USA;America;18624475;323127513
Uruguay;3475842;0.35;11996;20;175020;-3000;2;36;96;0.04;URY;America;52420;3444006
Uzbekistan;33551824;1.48;487487;79;425400;-8863;2.4;28;50;0.43;UZB;Asia;67220;31847900
Vanuatu;308337;2.42;7263;25;12190;120;3.8;21;24;0;VUT;Oceania;774;270402
Venezuela;28421581;-0.28;-79889;32;882050;-653249;2.3;30;NA;0.36;VEN;America;NA;31568179
Vietnam;97490013;0.91;876473;314;310070;-80000;2.1;32;38;1.25;VNM;Asia;205276;94569072
Yemen;29935468;2.28;664042;56;527970;-30000;3.8;20;38;0.38;YEM;Asia;27318;27584213
Zambia;18468257;2.93;522925;25;743390;-8000;4.7;18;45;0.24;ZMB;Africa;21064;16591390
Zimbabwe;14899771;1.48;217456;38;386850;-116858;3.6;19;38;0.19;ZWE;Africa;16620;16150362
